model_name,model_region,roleplay_country,real_country,country_code,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
google/gemini-2.0-flash-001,,Spain,Spain,Spain,,1.5926697689944245,0.6259196470380908,1.9967780741137273,1.6694071207181218,0.7935611837146521
meta-llama/llama-3.3-70b-instruct,,Spain,Spain,Spain,,2.507082162815829,3.8899848553637013,1.9573891329861934,1.6694071207181218,0.7935611837146521
mistralai/mistral-nemo,,Spain,Spain,Spain,,2.6498170621555075,4.1285627189042815,1.780518227764754,1.6694071207181218,0.7935611837146521
openai/gpt-4o-mini,,Spain,Spain,Spain,,5.565824746900377,7.228501705306466,1.0671896047699128,1.6694071207181218,0.7935611837146521
anthropic/claude-3.7-sonnet,,Tajikistan,Tajikistan,Tajikistan,,1.2865796045996107,-1.8428587542960235,-1.9037914139125114,-0.5563990941440431,-1.9213590481682061
deepseek/deepseek-chat-v3-0324,,Tajikistan,Tajikistan,Tajikistan,,0.8842949875135192,-1.3932345052699677,-1.6355547101548726,-0.5563990941440431,-1.9213590481682061
google/gemini-2.0-flash-001,,Tajikistan,Tajikistan,Tajikistan,,0.8842949875135192,-1.3932345052699677,-1.6355547101548726,-0.5563990941440431,-1.9213590481682061
openai/gpt-4o-mini,,Tajikistan,Tajikistan,Tajikistan,,0.44223035162942087,-0.12390310664434068,-1.8290828069197762,-0.5563990941440431,-1.9213590481682061
anthropic/claude-3.7-sonnet,,Tunisia,Tunisia,Tunisia,,0.5365719428960087,-1.8205047510817591,-0.4186559254225971,-1.9274915676453372,-0.9444536726456039
deepseek/deepseek-chat-v3-0324,,Tunisia,Tunisia,Tunisia,,1.205927921304534,-0.8437311236218102,-0.4155628981450444,-1.9274915676453372,-0.9444536726456039
google/gemini-2.0-flash-001,,Tunisia,Tunisia,Tunisia,,0.3202026234005466,-1.9424012080884268,-0.6245983574569235,-1.9274915676453372,-0.9444536726456039
mistralai/mistral-nemo,,Tunisia,Tunisia,Tunisia,,3.190162956516179,1.2625146829740859,-0.9128338981831476,-1.9274915676453372,-0.9444536726456039
openai/gpt-4o-mini,,Tunisia,Tunisia,Tunisia,,4.170930775019522,2.117848135877554,0.07136629816923977,-1.9274915676453372,-0.9444536726456039
anthropic/claude-3.7-sonnet,,Ukraine,Ukraine,Ukraine,,3.4812280255133743,2.597312033272726,0.8922511079305085,-0.8630569128348621,0.5117313023565969
deepseek/deepseek-chat-v3-0324,,Ukraine,Ukraine,Ukraine,,3.056266350015499,2.17091306233636,0.8802285099397649,-0.8630569128348621,0.5117313023565969
google/gemini-2.0-flash-001,,Ukraine,Ukraine,Ukraine,,0.7961320299099068,-0.4456735689518686,-0.16621954637619996,-0.8630569128348621,0.5117313023565969
meta-llama/llama-3.3-70b-instruct,,Ukraine,Ukraine,Ukraine,,1.8301200483950915,0.9336209923958427,0.8599954210846933,-0.8630569128348621,0.5117313023565969
mistralai/mistral-nemo,,Ukraine,Ukraine,Ukraine,,2.632082064376823,1.64011643164576,1.3253523450391558,-0.8630569128348621,0.5117313023565969
openai/gpt-4o-mini,,Ukraine,Ukraine,Ukraine,,3.453198364869439,2.5776685611521386,0.8049669751419767,-0.8630569128348621,0.5117313023565969
